Competitor,Date,Adj Close
BP,1/2/2015,30.66
Shell,1/2/2015,53.71
BP,1/5/2015,29.04
Shell,1/5/2015,51.16
BP,1/6/2015,28.82
Shell,1/6/2015,50.54
BP,1/7/2015,28.89
Shell,1/7/2015,51.12
BP,1/8/2015,29.55
Shell,1/8/2015,52.16
BP,1/9/2015,29.42
Shell,1/9/2015,51.50
BP,1/12/2015,29.00
Shell,1/12/2015,50.46
BP,1/13/2015,28.93
Shell,1/13/2015,50.50
BP,1/14/2015,28.69
Shell,1/14/2015,49.95
BP,1/15/2015,28.74
Shell,1/15/2015,50.13
BP,1/16/2015,30.45
Shell,1/16/2015,51.64
BP,1/20/2015,30.32
Shell,1/20/2015,51.80
BP,1/21/2015,31.23
Shell,1/21/2015,52.62
BP,1/22/2015,31.36
Shell,1/22/2015,52.81
BP,1/23/2015,31.29
Shell,1/23/2015,52.28
BP,1/26/2015,32.11
Shell,1/26/2015,53.29
BP,1/27/2015,32.34
Shell,1/27/2015,53.48
BP,1/28/2015,31.27
Shell,1/28/2015,51.41
BP,1/29/2015,31.17
Shell,1/29/2015,49.97
BP,1/30/2015,31.23
Shell,1/30/2015,49.28
BP,2/2/2015,32.06
Shell,2/2/2015,50.47
BP,2/3/2015,33.06
Shell,2/3/2015,53.73
BP,2/4/2015,32.54
Shell,2/4/2015,52.46
BP,2/5/2015,33.29
Shell,2/5/2015,53.58
BP,2/6/2015,33.12
Shell,2/6/2015,53.12
BP,2/9/2015,33.47
Shell,2/9/2015,53.50
BP,2/10/2015,33.18
Shell,2/10/2015,52.99
BP,2/11/2015,32.94
Shell,2/11/2015,52.60
BP,2/12/2015,33.74
Shell,2/12/2015,53.16
BP,2/13/2015,34.23
Shell,2/13/2015,53.95
BP,2/17/2015,34.10
Shell,2/17/2015,54.02
BP,2/18/2015,34.08
Shell,2/18/2015,54.13
BP,2/19/2015,33.62
Shell,2/19/2015,52.94
BP,2/20/2015,33.70
Shell,2/20/2015,53.53
BP,2/23/2015,33.65
Shell,2/23/2015,53.01
BP,2/24/2015,33.95
Shell,2/24/2015,53.60
BP,2/25/2015,34.21
Shell,2/25/2015,53.66
BP,2/26/2015,33.76
Shell,2/26/2015,52.73
BP,2/27/2015,33.83
Shell,2/27/2015,53.18
BP,3/2/2015,33.71
Shell,3/2/2015,52.31
BP,3/3/2015,34.07
Shell,3/3/2015,51.49
BP,3/4/2015,33.90
Shell,3/4/2015,51.18
BP,3/5/2015,33.61
Shell,3/5/2015,50.71
BP,3/6/2015,32.94
Shell,3/6/2015,49.65
BP,3/9/2015,32.88
Shell,3/9/2015,49.74
BP,3/10/2015,31.87
Shell,3/10/2015,47.78
BP,3/11/2015,31.21
Shell,3/11/2015,47.26
BP,3/12/2015,31.15
Petróleo Brasileiro S.A. - Petrobras,3/12/2015,34.00
Shell,3/12/2015,47.72
BP,3/13/2015,30.69
Petróleo Brasileiro S.A. - Petrobras,3/13/2015,null
Shell,3/13/2015,46.58
BP,3/16/2015,30.65
Petróleo Brasileiro S.A. - Petrobras,3/16/2015,null
Shell,3/16/2015,46.99
BP,3/17/2015,30.87
Petróleo Brasileiro S.A. - Petrobras,3/17/2015,31.50
Shell,3/17/2015,47.53
BP,3/18/2015,32.12
Petróleo Brasileiro S.A. - Petrobras,3/18/2015,null
Shell,3/18/2015,49.41
BP,3/19/2015,31.81
Petróleo Brasileiro S.A. - Petrobras,3/19/2015,null
Shell,3/19/2015,48.97
BP,3/20/2015,32.73
Petróleo Brasileiro S.A. - Petrobras,3/20/2015,null
Shell,3/20/2015,50.05
BP,3/23/2015,32.77
Shell,3/23/2015,50.89
BP,3/24/2015,32.25
Shell,3/24/2015,50.17
BP,3/25/2015,32.66
Petróleo Brasileiro S.A. - Petrobras,3/25/2015,null
Shell,3/25/2015,50.79
BP,3/26/2015,32.50
Petróleo Brasileiro S.A. - Petrobras,3/26/2015,null
Shell,3/26/2015,49.92
BP,3/27/2015,32.33
Petróleo Brasileiro S.A. - Petrobras,3/27/2015,null
Shell,3/27/2015,49.20
BP,3/30/2015,32.52
Petróleo Brasileiro S.A. - Petrobras,3/30/2015,null
Shell,3/30/2015,49.57
BP,3/31/2015,31.92
Petróleo Brasileiro S.A. - Petrobras,3/31/2015,null
Shell,3/31/2015,48.52
BP,4/1/2015,32.24
Petróleo Brasileiro S.A. - Petrobras,4/1/2015,null
Shell,4/1/2015,48.96
BP,4/2/2015,32.37
Shell,4/2/2015,49.08
BP,4/6/2015,32.76
Petróleo Brasileiro S.A. - Petrobras,4/6/2015,null
Shell,4/6/2015,50.03
BP,4/7/2015,32.85
Petróleo Brasileiro S.A. - Petrobras,4/7/2015,null
Shell,4/7/2015,50.40
BP,4/8/2015,33.28
Petróleo Brasileiro S.A. - Petrobras,4/8/2015,null
Shell,4/8/2015,48.67
BP,4/9/2015,33.75
Petróleo Brasileiro S.A. - Petrobras,4/9/2015,null
Shell,4/9/2015,48.32
BP,4/10/2015,33.91
Petróleo Brasileiro S.A. - Petrobras,4/10/2015,null
Shell,4/10/2015,48.59
BP,4/13/2015,33.65
Petróleo Brasileiro S.A. - Petrobras,4/13/2015,null
Shell,4/13/2015,48.65
BP,4/14/2015,34.12
Petróleo Brasileiro S.A. - Petrobras,4/14/2015,48.95
Shell,4/14/2015,49.18
BP,4/15/2015,34.63
Petróleo Brasileiro S.A. - Petrobras,4/15/2015,null
Shell,4/15/2015,50.57
BP,4/16/2015,34.73
Petróleo Brasileiro S.A. - Petrobras,4/16/2015,null
Shell,4/16/2015,51.46
BP,4/17/2015,35.01
Petróleo Brasileiro S.A. - Petrobras,4/17/2015,null
Shell,4/17/2015,51.04
BP,4/20/2015,34.95
Petróleo Brasileiro S.A. - Petrobras,4/20/2015,null
Shell,4/20/2015,51.13
BP,4/21/2015,34.92
Petróleo Brasileiro S.A. - Petrobras,4/21/2015,49.50
Shell,4/21/2015,50.78
BP,4/22/2015,35.30
Petróleo Brasileiro S.A. - Petrobras,4/22/2015,null
Shell,4/22/2015,50.73
BP,4/23/2015,35.59
Petróleo Brasileiro S.A. - Petrobras,4/23/2015,null
Shell,4/23/2015,51.22
BP,4/24/2015,35.48
Petróleo Brasileiro S.A. - Petrobras,4/24/2015,null
Shell,4/24/2015,51.05
BP,4/27/2015,35.13
Petróleo Brasileiro S.A. - Petrobras,4/27/2015,null
Shell,4/27/2015,51.32
BP,4/28/2015,35.49
Petróleo Brasileiro S.A. - Petrobras,4/28/2015,null
Shell,4/28/2015,51.56
BP,4/29/2015,35.58
Petróleo Brasileiro S.A. - Petrobras,4/29/2015,52.00
Shell,4/29/2015,51.66
BP,4/30/2015,35.23
Petróleo Brasileiro S.A. - Petrobras,4/30/2015,52.00
Shell,4/30/2015,51.60
BP,5/1/2015,35.29
Shell,5/1/2015,51.69
BP,5/4/2015,35.43
Petróleo Brasileiro S.A. - Petrobras,5/4/2015,52.00
Shell,5/4/2015,51.87
BP,5/5/2015,35.18
Petróleo Brasileiro S.A. - Petrobras,5/5/2015,52.00
Shell,5/5/2015,51.71
BP,5/6/2015,35.18
Petróleo Brasileiro S.A. - Petrobras,5/6/2015,53.00
Shell,5/6/2015,51.64
BP,5/7/2015,34.63
Petróleo Brasileiro S.A. - Petrobras,5/7/2015,53.00
Shell,5/7/2015,50.53
BP,5/8/2015,35.36
Petróleo Brasileiro S.A. - Petrobras,5/8/2015,53.00
Shell,5/8/2015,52.26
BP,5/11/2015,35.25
Petróleo Brasileiro S.A. - Petrobras,5/11/2015,53.00
Shell,5/11/2015,52.27
BP,5/12/2015,35.34
Petróleo Brasileiro S.A. - Petrobras,5/12/2015,53.00
Shell,5/12/2015,51.77
BP,5/13/2015,35.40
Petróleo Brasileiro S.A. - Petrobras,5/13/2015,53.00
Shell,5/13/2015,52.27
BP,5/14/2015,35.56
Petróleo Brasileiro S.A. - Petrobras,5/14/2015,53.00
Shell,5/14/2015,52.48
BP,5/15/2015,35.44
Petróleo Brasileiro S.A. - Petrobras,5/15/2015,53.00
Shell,5/15/2015,52.21
BP,5/18/2015,35.09
Petróleo Brasileiro S.A. - Petrobras,5/18/2015,53.00
Shell,5/18/2015,51.32
BP,5/19/2015,34.63
Petróleo Brasileiro S.A. - Petrobras,5/19/2015,53.00
Shell,5/19/2015,50.57
BP,5/20/2015,34.83
Petróleo Brasileiro S.A. - Petrobras,5/20/2015,54.30
Shell,5/20/2015,50.70
BP,5/21/2015,35.51
Petróleo Brasileiro S.A. - Petrobras,5/21/2015,54.30
Shell,5/21/2015,51.44
BP,5/22/2015,35.18
Petróleo Brasileiro S.A. - Petrobras,5/22/2015,55.55
Shell,5/22/2015,50.53
BP,5/26/2015,34.46
Petróleo Brasileiro S.A. - Petrobras,5/26/2015,55.55
Shell,5/26/2015,49.28
BP,5/27/2015,34.59
Petróleo Brasileiro S.A. - Petrobras,5/27/2015,55.55
Shell,5/27/2015,49.64
BP,5/28/2015,34.39
Petróleo Brasileiro S.A. - Petrobras,5/28/2015,55.55
Shell,5/28/2015,49.64
BP,5/29/2015,34.32
Petróleo Brasileiro S.A. - Petrobras,5/29/2015,55.55
Shell,5/29/2015,49.31
BP,6/1/2015,33.90
Petróleo Brasileiro S.A. - Petrobras,6/1/2015,55.55
Shell,6/1/2015,48.64
BP,6/2/2015,34.35
Petróleo Brasileiro S.A. - Petrobras,6/2/2015,55.55
Shell,6/2/2015,49.23
BP,6/3/2015,34.13
Petróleo Brasileiro S.A. - Petrobras,6/3/2015,55.55
Shell,6/3/2015,49.16
BP,6/4/2015,33.62
Petróleo Brasileiro S.A. - Petrobras,6/4/2015,55.55
Shell,6/4/2015,48.34
BP,6/5/2015,33.58
Petróleo Brasileiro S.A. - Petrobras,6/5/2015,55.55
Shell,6/5/2015,48.17
BP,6/8/2015,33.55
Petróleo Brasileiro S.A. - Petrobras,6/8/2015,55.55
Shell,6/8/2015,48.15
BP,6/9/2015,33.57
Petróleo Brasileiro S.A. - Petrobras,6/9/2015,55.55
Shell,6/9/2015,47.83
BP,6/10/2015,34.17
Petróleo Brasileiro S.A. - Petrobras,6/10/2015,55.55
Shell,6/10/2015,48.82
BP,6/11/2015,34.29
Petróleo Brasileiro S.A. - Petrobras,6/11/2015,52.90
Shell,6/11/2015,48.79
BP,6/12/2015,33.77
Petróleo Brasileiro S.A. - Petrobras,6/12/2015,52.90
Shell,6/12/2015,47.91
BP,6/15/2015,33.87
Petróleo Brasileiro S.A. - Petrobras,6/15/2015,52.90
Shell,6/15/2015,47.89
BP,6/16/2015,33.87
Petróleo Brasileiro S.A. - Petrobras,6/16/2015,52.90
Shell,6/16/2015,48.13
BP,6/17/2015,34.11
Petróleo Brasileiro S.A. - Petrobras,6/17/2015,52.90
Shell,6/17/2015,48.15
BP,6/18/2015,34.15
Petróleo Brasileiro S.A. - Petrobras,6/18/2015,52.90
Shell,6/18/2015,48.43
BP,6/19/2015,34.06
Petróleo Brasileiro S.A. - Petrobras,6/19/2015,52.90
Shell,6/19/2015,48.34
BP,6/22/2015,34.37
Petróleo Brasileiro S.A. - Petrobras,6/22/2015,52.90
Shell,6/22/2015,48.81
BP,6/23/2015,34.39
Petróleo Brasileiro S.A. - Petrobras,6/23/2015,52.90
Shell,6/23/2015,48.72
BP,6/24/2015,34.63
Petróleo Brasileiro S.A. - Petrobras,6/24/2015,52.90
Shell,6/24/2015,49.15
BP,6/25/2015,34.68
Petróleo Brasileiro S.A. - Petrobras,6/25/2015,52.90
Shell,6/25/2015,48.90
BP,6/26/2015,34.23
Petróleo Brasileiro S.A. - Petrobras,6/26/2015,52.90
Shell,6/26/2015,48.89
BP,6/29/2015,33.37
Petróleo Brasileiro S.A. - Petrobras,6/29/2015,52.90
Shell,6/29/2015,47.67
BP,6/30/2015,33.08
Petróleo Brasileiro S.A. - Petrobras,6/30/2015,52.90
Shell,6/30/2015,47.07
BP,7/1/2015,32.51
Petróleo Brasileiro S.A. - Petrobras,7/1/2015,52.90
Shell,7/1/2015,46.48
BP,7/2/2015,34.18
Petróleo Brasileiro S.A. - Petrobras,7/2/2015,52.90
Shell,7/2/2015,47.01
Petróleo Brasileiro S.A. - Petrobras,7/3/2015,52.90
BP,7/6/2015,33.04
Petróleo Brasileiro S.A. - Petrobras,7/6/2015,52.90
Shell,7/6/2015,46.23
BP,7/7/2015,32.87
Petróleo Brasileiro S.A. - Petrobras,7/7/2015,52.90
Shell,7/7/2015,46.10
BP,7/8/2015,32.41
Petróleo Brasileiro S.A. - Petrobras,7/8/2015,52.90
Shell,7/8/2015,45.52
BP,7/9/2015,32.39
Shell,7/9/2015,45.76
BP,7/10/2015,33.03
Petróleo Brasileiro S.A. - Petrobras,7/10/2015,51.00
Shell,7/10/2015,46.93
BP,7/13/2015,33.08
Petróleo Brasileiro S.A. - Petrobras,7/13/2015,51.00
Shell,7/13/2015,46.89
BP,7/14/2015,33.38
Petróleo Brasileiro S.A. - Petrobras,7/14/2015,51.00
Shell,7/14/2015,47.59
BP,7/15/2015,33.14
Petróleo Brasileiro S.A. - Petrobras,7/15/2015,51.00
Shell,7/15/2015,47.04
BP,7/16/2015,32.73
Petróleo Brasileiro S.A. - Petrobras,7/16/2015,51.00
Shell,7/16/2015,47.15
BP,7/17/2015,32.38
Petróleo Brasileiro S.A. - Petrobras,7/17/2015,51.00
Shell,7/17/2015,47.08
BP,7/20/2015,32.08
Petróleo Brasileiro S.A. - Petrobras,7/20/2015,51.00
Shell,7/20/2015,46.80
BP,7/21/2015,32.06
Petróleo Brasileiro S.A. - Petrobras,7/21/2015,51.00
Shell,7/21/2015,47.09
BP,7/22/2015,31.38
Petróleo Brasileiro S.A. - Petrobras,7/22/2015,51.00
Shell,7/22/2015,46.37
BP,7/23/2015,30.88
Petróleo Brasileiro S.A. - Petrobras,7/23/2015,51.00
Shell,7/23/2015,46.09
BP,7/24/2015,30.27
Petróleo Brasileiro S.A. - Petrobras,7/24/2015,51.00
Shell,7/24/2015,44.90
BP,7/27/2015,29.84
Petróleo Brasileiro S.A. - Petrobras,7/27/2015,51.00
Shell,7/27/2015,44.50
BP,7/28/2015,30.87
Petróleo Brasileiro S.A. - Petrobras,7/28/2015,51.00
Shell,7/28/2015,45.28
BP,7/29/2015,30.95
Petróleo Brasileiro S.A. - Petrobras,7/29/2015,48.00
Shell,7/29/2015,45.74
BP,7/30/2015,31.19
Petróleo Brasileiro S.A. - Petrobras,7/30/2015,48.00
Shell,7/30/2015,47.37
BP,7/31/2015,30.60
Petróleo Brasileiro S.A. - Petrobras,7/31/2015,48.00
Shell,7/31/2015,47.46
BP,8/3/2015,30.20
Petróleo Brasileiro S.A. - Petrobras,8/3/2015,48.00
Shell,8/3/2015,47.23
BP,8/4/2015,30.25
Petróleo Brasileiro S.A. - Petrobras,8/4/2015,48.00
Shell,8/4/2015,47.15
BP,8/5/2015,30.19
Petróleo Brasileiro S.A. - Petrobras,8/5/2015,48.00
Shell,8/5/2015,47.65
BP,8/6/2015,30.20
Petróleo Brasileiro S.A. - Petrobras,8/6/2015,48.00
Shell,8/6/2015,48.38
BP,8/7/2015,30.03
Petróleo Brasileiro S.A. - Petrobras,8/7/2015,48.00
Shell,8/7/2015,48.02
BP,8/10/2015,30.53
Petróleo Brasileiro S.A. - Petrobras,8/10/2015,48.00
Shell,8/10/2015,48.62
BP,8/11/2015,30.34
Petróleo Brasileiro S.A. - Petrobras,8/11/2015,48.00
Shell,8/11/2015,48.79
BP,8/12/2015,30.67
Petróleo Brasileiro S.A. - Petrobras,8/12/2015,48.00
Shell,8/12/2015,49.15
BP,8/13/2015,30.23
Petróleo Brasileiro S.A. - Petrobras,8/13/2015,48.00
Shell,8/13/2015,47.77
BP,8/14/2015,30.10
Petróleo Brasileiro S.A. - Petrobras,8/14/2015,48.00
Shell,8/14/2015,47.36
BP,8/17/2015,29.90
Shell,8/17/2015,47.07
BP,8/18/2015,29.67
Petróleo Brasileiro S.A. - Petrobras,8/18/2015,48.00
Shell,8/18/2015,46.77
BP,8/19/2015,29.17
Petróleo Brasileiro S.A. - Petrobras,8/19/2015,48.00
Shell,8/19/2015,45.79
BP,8/20/2015,28.93
Petróleo Brasileiro S.A. - Petrobras,8/20/2015,48.00
Shell,8/20/2015,45.47
BP,8/21/2015,27.92
Petróleo Brasileiro S.A. - Petrobras,8/21/2015,48.00
Shell,8/21/2015,44.00
BP,8/24/2015,26.25
Petróleo Brasileiro S.A. - Petrobras,8/24/2015,48.00
Shell,8/24/2015,41.72
BP,8/25/2015,25.85
Petróleo Brasileiro S.A. - Petrobras,8/25/2015,48.00
Shell,8/25/2015,41.65
BP,8/26/2015,26.17
Petróleo Brasileiro S.A. - Petrobras,8/26/2015,48.00
Shell,8/26/2015,41.52
BP,8/27/2015,27.80
Petróleo Brasileiro S.A. - Petrobras,8/27/2015,48.00
Shell,8/27/2015,43.58
BP,8/28/2015,27.99
Petróleo Brasileiro S.A. - Petrobras,8/28/2015,48.00
Shell,8/28/2015,44.13
BP,8/31/2015,28.23
Petróleo Brasileiro S.A. - Petrobras,8/31/2015,48.00
Shell,8/31/2015,44.40
BP,9/1/2015,27.05
Petróleo Brasileiro S.A. - Petrobras,9/1/2015,48.00
Shell,9/1/2015,42.40
BP,9/2/2015,27.10
Petróleo Brasileiro S.A. - Petrobras,9/2/2015,48.00
Shell,9/2/2015,42.77
BP,9/3/2015,27.28
Petróleo Brasileiro S.A. - Petrobras,9/3/2015,48.00
Shell,9/3/2015,42.62
BP,9/4/2015,25.84
Petróleo Brasileiro S.A. - Petrobras,9/4/2015,48.00
Shell,9/4/2015,41.54
Petróleo Brasileiro S.A. - Petrobras,9/7/2015,48.00
BP,9/8/2015,26.44
Petróleo Brasileiro S.A. - Petrobras,9/8/2015,48.00
Shell,9/8/2015,42.63
BP,9/9/2015,26.01
Petróleo Brasileiro S.A. - Petrobras,9/9/2015,48.00
Shell,9/9/2015,42.07
BP,9/10/2015,26.27
Petróleo Brasileiro S.A. - Petrobras,9/10/2015,48.00
Shell,9/10/2015,42.43
BP,9/11/2015,26.10
Petróleo Brasileiro S.A. - Petrobras,9/11/2015,48.00
Shell,9/11/2015,42.18
BP,9/14/2015,25.82
Petróleo Brasileiro S.A. - Petrobras,9/14/2015,48.00
Shell,9/14/2015,41.88
BP,9/15/2015,26.18
Petróleo Brasileiro S.A. - Petrobras,9/15/2015,48.00
Shell,9/15/2015,42.19
BP,9/16/2015,27.04
Petróleo Brasileiro S.A. - Petrobras,9/16/2015,48.00
Shell,9/16/2015,43.38
BP,9/17/2015,27.02
Petróleo Brasileiro S.A. - Petrobras,9/17/2015,48.00
Shell,9/17/2015,43.23
BP,9/18/2015,26.17
Petróleo Brasileiro S.A. - Petrobras,9/18/2015,48.00
Shell,9/18/2015,41.55
BP,9/21/2015,26.14
Petróleo Brasileiro S.A. - Petrobras,9/21/2015,48.00
Shell,9/21/2015,41.46
BP,9/22/2015,25.58
Petróleo Brasileiro S.A. - Petrobras,9/22/2015,48.00
Shell,9/22/2015,40.09
BP,9/23/2015,25.18
Petróleo Brasileiro S.A. - Petrobras,9/23/2015,48.00
Shell,9/23/2015,39.72
BP,9/24/2015,25.38
Petróleo Brasileiro S.A. - Petrobras,9/24/2015,48.00
Shell,9/24/2015,39.42
BP,9/25/2015,25.61
Petróleo Brasileiro S.A. - Petrobras,9/25/2015,48.00
Shell,9/25/2015,39.69
BP,9/28/2015,24.73
Petróleo Brasileiro S.A. - Petrobras,9/28/2015,48.00
Shell,9/28/2015,38.49
BP,9/29/2015,24.94
Petróleo Brasileiro S.A. - Petrobras,9/29/2015,48.00
Shell,9/29/2015,39.06
BP,9/30/2015,25.72
Petróleo Brasileiro S.A. - Petrobras,9/30/2015,48.00
Shell,9/30/2015,39.76
BP,10/1/2015,26.06
Petróleo Brasileiro S.A. - Petrobras,10/1/2015,48.00
Shell,10/1/2015,40.42
BP,10/2/2015,27.37
Petróleo Brasileiro S.A. - Petrobras,10/2/2015,48.00
Shell,10/2/2015,41.81
BP,10/5/2015,28.19
Petróleo Brasileiro S.A. - Petrobras,10/5/2015,48.00
Shell,10/5/2015,43.34
BP,10/6/2015,28.88
Petróleo Brasileiro S.A. - Petrobras,10/6/2015,48.00
Shell,10/6/2015,44.86
BP,10/7/2015,30.05
Petróleo Brasileiro S.A. - Petrobras,10/7/2015,48.00
Shell,10/7/2015,46.12
BP,10/8/2015,30.26
Petróleo Brasileiro S.A. - Petrobras,10/8/2015,48.00
Shell,10/8/2015,46.88
BP,10/9/2015,30.26
Petróleo Brasileiro S.A. - Petrobras,10/9/2015,48.00
Shell,10/9/2015,46.37
BP,10/12/2015,29.77
Shell,10/12/2015,46.21
BP,10/13/2015,29.23
Petróleo Brasileiro S.A. - Petrobras,10/13/2015,48.00
Shell,10/13/2015,45.42
BP,10/14/2015,29.73
Petróleo Brasileiro S.A. - Petrobras,10/14/2015,48.00
Shell,10/14/2015,46.40
BP,10/15/2015,30.03
Petróleo Brasileiro S.A. - Petrobras,10/15/2015,48.00
Shell,10/15/2015,46.93
BP,10/16/2015,30.18
Petróleo Brasileiro S.A. - Petrobras,10/16/2015,48.00
Shell,10/16/2015,47.28
BP,10/19/2015,29.41
Petróleo Brasileiro S.A. - Petrobras,10/19/2015,48.00
Shell,10/19/2015,46.00
BP,10/20/2015,29.43
Petróleo Brasileiro S.A. - Petrobras,10/20/2015,48.00
